filename	measure	score
PMC4804230.txt	flesch_reading_ease	206.84
PMC4808522.txt	flesch_reading_ease	15.51
PMC4808522.txt	gunning_fog	14.31
PMC4808522.txt	automated_readability_index	20.3
PMC4808522.txt	coleman_liau_index	19.55
PMC4808523.txt	flesch_reading_ease	23.7
PMC4808523.txt	gunning_fog	17.85
PMC4808523.txt	automated_readability_index	20.7
PMC4808523.txt	coleman_liau_index	15.21
PMC4809863.txt	flesch_reading_ease	20.99
PMC4809863.txt	gunning_fog	23.87
PMC4809863.txt	automated_readability_index	26.5
PMC4809863.txt	coleman_liau_index	15.86
PMC4823230.txt	flesch_reading_ease	15.78
PMC4823230.txt	gunning_fog	20.44
PMC4823230.txt	automated_readability_index	24.9
PMC4823230.txt	coleman_liau_index	15.56
PMC4826381.txt	flesch_reading_ease	21.6
PMC4826381.txt	gunning_fog	20.86
PMC4826381.txt	automated_readability_index	26.4
PMC4826381.txt	coleman_liau_index	16.09
PMC4826382.txt	flesch_reading_ease	44.78
PMC4826382.txt	gunning_fog	14.51
PMC4826382.txt	automated_readability_index	16.6
PMC4826382.txt	coleman_liau_index	12.77
PMC4829572.txt	flesch_reading_ease	18.79
PMC4829572.txt	gunning_fog	18.7
PMC4829572.txt	automated_readability_index	22.4
PMC4829572.txt	coleman_liau_index	18.63
PMC4829573.txt	flesch_reading_ease	33.38
PMC4829573.txt	gunning_fog	17.51
PMC4829573.txt	automated_readability_index	20.9
PMC4829573.txt	coleman_liau_index	16.55
PMC4830803.txt	flesch_reading_ease	32.12
PMC4830803.txt	gunning_fog	16.75
PMC4830803.txt	automated_readability_index	17.5
PMC4830803.txt	coleman_liau_index	16.42
PMC4830804.txt	flesch_reading_ease	32.36
PMC4830804.txt	gunning_fog	17.05
PMC4830804.txt	automated_readability_index	21.4
PMC4830804.txt	coleman_liau_index	16.2
PMC4835421.txt	flesch_reading_ease	18.52
PMC4835421.txt	gunning_fog	20.96
PMC4835421.txt	automated_readability_index	25.5
PMC4835421.txt	coleman_liau_index	18.11
PMC4835422.txt	flesch_reading_ease	39.37
PMC4835422.txt	gunning_fog	15.27
PMC4835422.txt	automated_readability_index	17.7
PMC4835422.txt	coleman_liau_index	15.61
PMC4835423.txt	flesch_reading_ease	206.84
PMC4835424.txt	flesch_reading_ease	23.6
PMC4835424.txt	gunning_fog	16.24
PMC4835424.txt	automated_readability_index	22.2
PMC4835424.txt	coleman_liau_index	17.13
PMC4837763.txt	flesch_reading_ease	33.78
PMC4837763.txt	gunning_fog	15.94
PMC4837763.txt	automated_readability_index	19.7
PMC4837763.txt	coleman_liau_index	15.1
PMC4837764.txt	flesch_reading_ease	41.43
PMC4837764.txt	gunning_fog	15.05
PMC4837764.txt	automated_readability_index	20.8
PMC4837764.txt	coleman_liau_index	15.15
PMC4902798.txt	flesch_reading_ease	25.53
PMC4902798.txt	gunning_fog	17.99
PMC4902798.txt	automated_readability_index	22.0
PMC4902798.txt	coleman_liau_index	17.76
PMC4902799.txt	flesch_reading_ease	16.83
PMC4902799.txt	gunning_fog	16.59
PMC4902799.txt	automated_readability_index	19.0
PMC4902799.txt	coleman_liau_index	18.91
PMC4903100.txt	flesch_reading_ease	32.67
PMC4903100.txt	gunning_fog	16.19
PMC4903100.txt	automated_readability_index	20.5
PMC4903100.txt	coleman_liau_index	15.39
PMC4908033.txt	flesch_reading_ease	206.84
PMC4909018.txt	flesch_reading_ease	22.58
PMC4909018.txt	gunning_fog	16.66
PMC4909018.txt	automated_readability_index	22.0
PMC4909018.txt	coleman_liau_index	16.08
PMC4909019.txt	flesch_reading_ease	25.19
PMC4909019.txt	gunning_fog	17.93
PMC4909019.txt	automated_readability_index	19.8
PMC4909019.txt	coleman_liau_index	19.78
PMC4909020.txt	flesch_reading_ease	206.84
PMC4909021.txt	flesch_reading_ease	27.15
PMC4909021.txt	gunning_fog	16.33
PMC4909021.txt	automated_readability_index	20.9
PMC4909021.txt	coleman_liau_index	17.12
PMC4909022.txt	flesch_reading_ease	24.68
PMC4909022.txt	gunning_fog	17.09
PMC4909022.txt	automated_readability_index	18.8
PMC4909022.txt	coleman_liau_index	18.51
PMC4909023.txt	flesch_reading_ease	32.77
PMC4909023.txt	gunning_fog	15.81
PMC4909023.txt	automated_readability_index	20.0
PMC4909023.txt	coleman_liau_index	14.75
PMC4909024.txt	flesch_reading_ease	206.84
PMC4909025.txt	flesch_reading_ease	31.85
PMC4909025.txt	gunning_fog	16.74
PMC4909025.txt	automated_readability_index	20.9
PMC4909025.txt	coleman_liau_index	15.33
PMC4909026.txt	flesch_reading_ease	11.72
PMC4909026.txt	gunning_fog	22.22
PMC4909026.txt	automated_readability_index	27.7
PMC4909026.txt	coleman_liau_index	17.07
PMC4909027.txt	flesch_reading_ease	26.14
PMC4909027.txt	gunning_fog	17.92
PMC4909027.txt	automated_readability_index	21.3
PMC4909027.txt	coleman_liau_index	17.53
PMC4909028.txt	flesch_reading_ease	14.53
PMC4909028.txt	gunning_fog	19.69
PMC4909028.txt	automated_readability_index	22.1
PMC4909028.txt	coleman_liau_index	16.49
PMC4909029.txt	flesch_reading_ease	27.66
PMC4909029.txt	gunning_fog	15.9
PMC4909029.txt	automated_readability_index	19.6
PMC4909029.txt	coleman_liau_index	16.02
PMC4909030.txt	flesch_reading_ease	25.73
PMC4909030.txt	gunning_fog	17.51
PMC4909030.txt	automated_readability_index	21.2
PMC4909030.txt	coleman_liau_index	16.71
PMC4909031.txt	flesch_reading_ease	27.66
PMC4909031.txt	gunning_fog	16.9
PMC4909031.txt	automated_readability_index	20.8
PMC4909031.txt	coleman_liau_index	17.7
PMC4909032.txt	flesch_reading_ease	19.5
PMC4909032.txt	gunning_fog	18.54
PMC4909032.txt	automated_readability_index	20.3
PMC4909032.txt	coleman_liau_index	17.24
PMC4910840.txt	flesch_reading_ease	36.83
PMC4910840.txt	gunning_fog	17.12
PMC4910840.txt	automated_readability_index	19.6
PMC4910840.txt	coleman_liau_index	16.95
PMC4912962.txt	flesch_reading_ease	33.17
PMC4912962.txt	gunning_fog	18.21
PMC4912962.txt	automated_readability_index	21.8
PMC4912962.txt	coleman_liau_index	16.72
PMC4914487.txt	flesch_reading_ease	18.69
PMC4914487.txt	gunning_fog	19.1
PMC4914487.txt	automated_readability_index	22.5
PMC4914487.txt	coleman_liau_index	19.79
PMC4917499.txt	flesch_reading_ease	33.04
PMC4917499.txt	gunning_fog	14.84
